10/05/2024 08:00:00, 1, 22, 65, 180
10/05/2024 08:15:00, 2, 21, 64, 175
10/05/2024 08:30:00, 3, 20, 63, 170
10/05/2024 08:45:00, 4, 19, 62, 165
10/05/2024 09:00:00, 5, 18, 61, 160
10/05/2024 09:15:00, 6, 17, 60, 155
10/05/2024 09:30:00, 7, 16, 59, 150
10/05/2024 09:45:00, 8, 15, 58, 145
10/05/2024 10:00:00, 9, 14, 57, 140
10/05/2024 10:15:00, 10, 13, 56, 135
10/05/2024 10:30:00, 11, 12, 55, 130
10/05/2024 10:45:00, 12, 11, 54, 125
10/05/2024 11:00:00, 13, 10, 53, 120
10/05/2024 11:15:00, 14, 9, 52, 115
10/05/2024 11:30:00, 15, 8, 51, 110
10/05/2024 11:45:00, 16, 7, 50, 105
10/05/2024 12:00:00, 17, 6, 49, 100
10/05/2024 12:15:00, 18, 5, 48, 95
10/05/2024 12:30:00, 19, 4, 47, 90
10/05/2024 12:45:00, 20, 3, 46, 85
10/05/2024 13:00:00, 21, 2, 45, 80
10/05/2024 13:15:00, 22, 1, 44, 75
10/05/2024 13:30:00, 23, 0, 43, 70
10/05/2024 13:45:00, 24, -1, 42, 65
10/05/2024 14:00:00, 25, -2, 41, 60
