10/05/2024 08:00:00, 1
10/05/2024 08:15:00, 2
10/05/2024 08:30:00, 3
10/05/2024 08:45:00, 4
10/05/2024 09:00:00, 5
10/05/2024 09:15:00, 6
10/05/2024 09:30:00, 7
10/05/2024 09:45:00, 8
10/05/2024 10:00:00, 9
10/05/2024 10:15:00, 10
10/05/2024 10:30:00, 11
10/05/2024 10:45:00, 12
10/05/2024 11:00:00, 13
10/05/2024 11:15:00, 14
10/05/2024 11:30:00, 15
10/05/2024 11:45:00, 16
10/05/2024 12:00:00, 17
10/05/2024 12:15:00, 18
10/05/2024 12:30:00, 19
10/05/2024 12:45:00, 20
10/05/2024 13:00:00, 21
10/05/2024 13:15:00, 22
10/05/2024 13:30:00, 23
10/05/2024 13:45:00, 24
10/05/2024 14:00:00, 25
